,经度,纬度,连接顺序,块,名称
0,121.778859,31.310198,1.0,1.0,上海市
1,121.775374,31.31067,2.0,1.0,上海市
2,121.770952,31.31168,3.0,1.0,上海市
3,121.767396,31.313293,4.0,1.0,上海市
4,121.764248,31.315309,5.0,1.0,上海市
5,121.760762,31.320344,6.0,1.0,上海市
6,121.75586,31.329072,7.0,1.0,上海市
7,121.751166,31.337799,8.0,1.0,上海市
8,121.747408,31.341189,9.0,1.0,上海市
9,121.744656,31.343672,10.0,1.0,上海市
10,121.740767,31.346488,11.0,1.0,上海市
11,121.733116,31.351519,12.0,1.0,上海市
12,121.727939,31.354803,13.0,1.0,上海市
13,121.686683,31.376591,14.0,1.0,上海市
14,121.641039,31.401111,15.0,1.0,上海市
15,121.601422,31.421856,16.0,1.0,上海市
16,121.590378,31.427544,17.0,1.0,上海市
17,121.572251,31.436067,18.0,1.0,上海市
18,121.558469,31.448792,19.0,1.0,上海市
19,121.549768,31.457064,20.0,1.0,上海市
20,121.543277,31.462399,21.0,1.0,上海市
21,121.537418,31.466701,22.0,1.0,上海市
22,121.52951,31.471167,23.0,1.0,上海市
23,121.516855,31.477316,24.0,1.0,上海市
24,121.512903,31.480344,25.0,1.0,上海市
25,121.510135,31.482575,26.0,1.0,上海市
26,121.509106,31.485357,27.0,1.0,上海市
27,121.508873,31.487658,28.0,1.0,上海市
28,121.509349,31.489801,29.0,1.0,上海市
29,121.511088,31.49178,30.0,1.0,上海市
30,121.513458,31.493359,31.0,1.0,上海市
31,121.516934,31.494302,32.0,1.0,上海市
32,121.52113,31.493973,33.0,1.0,上海市
33,121.549922,31.48975,34.0,1.0,上海市
34,121.562352,31.486372,35.0,1.0,上海市
35,121.565523,31.484939,36.0,1.0,上海市
36,121.567342,31.483506,37.0,1.0,上海市
37,121.569646,31.477946,38.0,1.0,上海市
38,121.572808,31.469448,39.0,1.0,上海市
39,121.575823,31.463808,40.0,1.0,上海市
40,121.580417,31.458801,41.0,1.0,上海市
41,121.583035,31.456259,42.0,1.0,上海市
42,121.585567,31.454671,43.0,1.0,上海市
43,121.59981,31.450684,44.0,1.0,上海市
44,121.606319,31.449408,45.0,1.0,上海市
45,121.621759,31.444148,46.0,1.0,上海市
46,121.673842,31.427747,47.0,1.0,上海市
47,121.688288,31.425882,48.0,1.0,上海市
48,121.697193,31.423993,49.0,1.0,上海市
49,121.708321,31.419726,50.0,1.0,上海市
50,121.723713,31.412359,51.0,1.0,上海市
51,121.729291,31.410351,52.0,1.0,上海市
52,121.737481,31.408814,53.0,1.0,上海市
53,121.742179,31.407206,54.0,1.0,上海市
54,121.746545,31.404724,55.0,1.0,上海市
55,121.753723,31.400362,56.0,1.0,上海市
56,121.760851,31.395185,57.0,1.0,上海市
57,121.769386,31.390744,58.0,1.0,上海市
58,121.774137,31.386985,59.0,1.0,上海市
59,121.780573,31.380156,60.0,1.0,上海市
60,121.783447,31.376711,61.0,1.0,上海市
61,121.787882,31.371636,62.0,1.0,上海市
62,121.79088,31.367062,63.0,1.0,上海市
63,121.792379,31.363304,64.0,1.0,上海市
64,121.792879,31.35911,65.0,1.0,上海市
65,121.793003,31.35507,66.0,1.0,上海市
66,121.796011,31.345623,67.0,1.0,上海市
67,121.796479,31.339782,68.0,1.0,上海市
68,121.796479,31.335419,69.0,1.0,上海市
69,121.795871,31.329982,70.0,1.0,上海市
70,121.79877,31.310352,71.0,1.0,上海市
71,121.796707,31.307357,72.0,1.0,上海市
72,121.791049,31.308355,73.0,1.0,上海市
73,121.785489,31.311064,74.0,1.0,上海市
74,121.782005,31.31033,75.0,1.0,上海市
75,121.778859,31.310198,76.0,1.0,上海市
76,121.627045,31.44499,1.0,2.0,上海市
77,121.621542,31.445816,2.0,2.0,上海市
78,121.616871,31.446642,3.0,2.0,上海市
79,121.613861,31.447886,4.0,2.0,上海市
80,121.594151,31.458572,5.0,2.0,上海市
